id,repo_fullname,commits_count,commits_days_since_first,commits_days_since_last,commits_total_lines_added,commits_total_lines_removed,commits_avg_added,commits_avg_removed,commits_avg_files_changed,commits_avg_message_length,commits_avg_per_day,commits_avg_per_day_real,commits_max_per_day,contributors_count,contributors_top_avg_commits,contributors_top_avg_participation_week,contributors_top_avg_additions,contributors_top_avg_deletions,forks_count,forks_avg_per_day,forks_avg_max_per_day,issues_total_comments,issues_count,issues_open,issues_labels,issues_avg_labels,issues_avg_closing_time,issues_avg_comment_time,issues_avg_comments,issues_avg_comment_length,issues_avg_title_length,issues_avg_body_length,issues_avg_per_day,issues_avg_per_day_real,issues_max_per_day,repo_size,repo_topics,repo_branches,repo_age_days,repo_workflows,repo_languages,repo_milestones,repo_watchers,repo_deployments,repo_readme_length,repo_network_members,pulls_count,pulls_total_lines_added,pulls_total_lines_removed,pulls_avg_lines_added,pulls_avg_lines_removed,pulls_avg_closing_time,pulls_avg_comments,pulls_avg_review_comments,pulls_avg_Commits,pulls_avg_body_length,pulls_avg_title_length,pulls_avg_files_changed,pulls_avg_labels,pulls_avg_created_per_day,pulls_avg_created_per_day_real,pulls_max_created_per_day,releases_count,releases_tags,releases_total_downloads,releases_avg_body_length,releases_avg_title_length,releases_avg_assets,releases_avg_assets_downloads,releases_avg_assets_size,releases_avg_downloads_per_day,stars_count,stars_avg_per_day_real,stars_max_per_day,wf_count,wf_avg_duration,wf_avg_success_duration,wf_avg_failure_duration,wf_avg_successes_per_day,wf_avg_successes_per_day_real,wf_avg_fails_per_day,created_at,updated_at
10,MicrosoftDocs/office-developer-infopath-external-automation-ref-dotnet.ja-JP,11,1325,239,93999,59,8545,5,28,46,,1,2,4,2,2,8545,5,2,0,1,2,2,2,0,0,0,0,1,2386,123,29,0,2,2,11143,0,6,1325,0,1,0,2,0,540,2,2,6,4,3,2,0,1,0,1,29,123,1,0,0,1,2,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,0,0,2022-03-05 12:01:07.002908,2022-03-05 12:01:07.002908
11,nuvention-web/BarLift,48,2605,2461,85480,6858,1781,143,6,25,,6,24,0,0,0,0,0,0,0,0,11,71,1,47,0,0,0,0,98,28,260,0,2,12,19988,0,3,2610,0,0,9,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2022-03-05 12:01:42.607889,2022-03-05 12:01:42.607889
12,spacetelescope/VO-Directory,88,2608,848,1209829,14268,13748,162,9,86,,2,15,2,38,17,15214,139,1,0,1,0,7,2,0,0,0,0,0,0,35,139,0,1,2,11954,1,5,2608,0,11,0,2,0,689,1,1,1,0,1,0,0,0,0,3,50,16,3,0,0,1,1,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,0,0,2022-03-05 12:02:40.902472,2022-03-05 12:02:40.902472
13,microsoft/sarif-azuredevops-extension,100,1151,470,6284,5896,63,59,2,25,,3,17,1,100,18,116,112,8,0,1,10,3,1,0,0,0,0,3,461,46,674,0,1,1,132,2,1,1143,0,3,0,7,0,2234,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,1,1,0,0,0,0,0,0,0,2022-03-05 12:03:41.029087,2022-03-05 12:03:41.029087
14,PredixDev/ext-interface,42,1858,1086,10287,838,245,20,9,14,,1,3,1,22,11,31,22,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515,0,2,2347,0,1,0,2,45,2555,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,24,5,0,0,0,,2,1,1,0,0,0,0,0,0,0,2022-03-05 12:23:24.61654,2022-03-05 12:23:24.61654
15,Vizzuality/tweets_nba,,,,,,,,,,,,,1,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1525,0,3,3175,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2022-03-05 12:23:32.075075,2022-03-05 12:23:32.075075
16,Azure-Samples/network-dotnet-manage-internet-facing-load-balancers,34,1977,411,58920,20822,1733,612,6,29,,1,3,9,3,2,1915,729,3,0,1,0,4,1,1,0,0,0,0,0,32,545,0,1,1,28209,0,2,1985,0,7,0,0,0,2781,3,1,1,1,1,1,0,0,0,1,2183,75,1,1,0,1,1,6,6,323,0,38,0,64,28316131,,0,0,0,0,0,0,0,0,0,0,2022-03-05 12:47:51.05934,2022-03-05 12:47:51.05934
17,robertotorfe/camada6_roberto,12,271,245,124,83,10,7,4,38,,2,4,6,1,1,13,9,3,0,1,0,3,0,0,0,0,0,0,0,28,0,0,1,2,453653,0,64,271,0,0,0,3,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,2,0,0,0,0,0,0,0,2022-03-05 12:48:05.889198,2022-03-05 12:48:05.889198
18,icube-mage/m2-opensource233,,,,,,,,,,,,,1,1,1,1279402,0,4,0,2,1,11,5,0,0,0,0,0,515,17,1209,0,2,3,41005,0,27,866,0,6,0,0,0,0,4,5,5039,17,1007,3,0,0,0,2,1046,20,35,0,0,1,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2022-03-05 12:48:17.97595,2022-03-05 12:48:17.97595
19,microsoft/powerquery-parser,335,1076,2,186703,95289,557,284,12,250,,2,15,0,0,0,0,0,18,0,3,110,295,8,25,0,0,0,0,302,32,314,0,1,6,2898,6,1,1076,0,3,0,69,0,3106,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,69,1,4,0,0,0,0,0,0,0,2022-03-05 12:55:42.008884,2022-03-05 12:55:42.008884
20,Azure/azure-keyvault-cli-extension,25,1416,1303,63469,4175,2539,167,35,41,,3,5,4,5,1,1633,187,9,0,1,6,8,2,0,0,0,0,0,118,40,657,0,1,2,332,0,1,1416,0,1,0,2,0,4009,10,1,3,3,3,3,0,0,0,1,22,31,1,0,0,1,1,4,4,65093,76,22,1,16273,284977,,2,1,1,0,0,0,0,0,0,0,2022-03-05 12:56:12.239444,2022-03-05 12:56:12.239444
21,MicrosoftDocs/EnableXliffTranformGitHub.fr-FR,9,1300,1212,821,211,91,23,2,98,,1,2,1,9,6,91,23,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,1300,0,1,0,2,0,373,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,0,0,2022-03-05 12:56:25.494338,2022-03-05 12:56:25.494338
22,microsoft/Partner-Center-DotNet-Samples,83,1283,86,22395,4666,270,56,10,104,,2,7,21,1,1,358,50,76,0,3,143,85,24,16,0,0,0,1,380,43,422,0,1,5,374,4,22,1283,0,4,0,62,0,1078,80,3,1180,292,393,97,0,3,0,1,215,36,8,0,0,1,1,17,17,937,0,34,1,55,178892,,62,1,2,0,0,0,0,0,0,0,2022-03-05 12:57:38.739337,2022-03-05 12:57:38.739337
23,osisoft/OCS-Docs,7214,1275,9,5592208,5487638,775,761,9,155,,10,126,0,0,0,0,0,71,0,2,382,837,4,1,0,0,0,0,374,33,103,0,1,12,43024,0,47,1275,0,3,0,10,503,967,72,4,1268,493,317,123,0,0,20,86,54,30,22,0,0,1,1,0,0,0,0,0,0,0,0,,10,1,1,0,0,0,0,0,0,0,2022-03-05 13:32:53.145179,2022-03-05 13:32:53.145179
24,microsoft/Partner-Center-DotNet-Samples,166,1283,86,44790,9332,270,56,10,104,,4,14,21,1,1,358,50,76,0,3,143,85,24,16,0,0,0,1,380,43,422,0,1,5,374,4,22,1283,0,4,0,62,0,1078,80,3,1180,292,393,97,0,3,0,1,215,36,8,0,0,1,1,17,17,937,0,34,1,55,178892,,62,1,2,0,0,0,0,0,0,0,2022-03-05 13:34:13.609992,2022-03-05 13:34:13.609992
25,osisoft/OCS-Docs,7956,1275,9,8465432,8003652,1064,1006,10,145,,11,126,73,36,8,243,423,71,0,2,382,837,4,1,0,0,0,0,374,33,103,0,1,12,43024,0,47,1275,0,3,0,10,503,967,72,4,1268,493,317,123,0,0,20,86,54,30,22,0,0,1,1,0,0,0,0,0,0,0,0,,10,1,1,0,0,0,0,0,0,0,2022-03-05 13:41:27.492958,2022-03-05 13:41:27.492958
